title,url,price,primary_image_url,retailer_sku_code,currency,crawl_time,current_price,categories
Samsung Galaxy A9 (2016) Dual-SIM SM-A9000 ,http://www.expansys.com.sg/samsung-galaxy-a9-2016-dual-sim-sm-a9000-unlocked-32gb-white-287755/,739.99,http://i2.expansys.com/img/b/287755/samsung-galaxy-a9-2016-dual-sim-sm-a9000.jpg,287755,SG$,2016-04-18 14:13:07,674.99,Phablets
Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-64gb-gold-platinum-284423/,999.99,http://i1.expansys.com/img/b/284423/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,284423,SG$,2016-04-18 14:13:11,999.99,Phablets
LG G5 Dual SIM LG-H860N ,http://www.expansys.com.sg/lg-g5-dual-sim-lg-h860n-unlocked-32gb-silver-288131/,,http://i1.expansys.com/img/b/288131/lg-g5-dual-sim-lg-h860n.jpg,288131,,2016-04-18 14:13:14,,"Mobile Phones,Dual SIM Phones"
Samsung Galaxy A5 (2016) Dual-SIM SM-A5100 ,http://www.expansys.com.sg/samsung-galaxy-a5-2016-dual-sim-sm-a5100-unlocked-16gb-black-287360/,539.99,http://i1.expansys.com/img/b/287360/samsung-galaxy-a5-2016-dual-sim-sm-a5100.jpg,287360,SG$,2016-04-18 14:13:18,454.99,"Mobile Phones,Dual SIM Phones"
Samsung Galaxy S7 edge Dual-SIM SM-G9350 ,http://www.expansys.com.sg/samsung-galaxy-s7-edge-dual-sim-sm-g9350-unlocked-32gb-silver-titanium-289362/,1054.99,http://i1.expansys.com/img/b/289362/samsung-galaxy-s7-edge-dual-sim-sm-g9350.jpg,289362,SG$,2016-04-18 14:13:22,1054.99,"Mobile Phones,Dual SIM Phones"
Microsoft Lumia 950 XL RM-1085 ,http://www.expansys.com.sg/microsoft-lumia-950-xl-rm-1085-unlocked-32gb-black-286184/,1088.82,http://i1.expansys.com/img/b/286184/microsoft-lumia-950-xl-rm-1085.jpg,286184,SG$,2016-04-18 14:13:25,629.99,"Mobile Phones,SIM Free Phones,Windows Phone,Windows 10"
Microsoft Lumia 950 XL Dual SIM RM-1116 ,http://www.expansys.com.sg/microsoft-lumia-950-xl-dual-sim-rm-1116-unlocked-32gb-black-288716/,719.99,http://i2.expansys.com/img/b/288716/microsoft-lumia-950-xl-dual-sim-rm-1116.jpg,288716,SG$,2016-04-18 14:13:29,719.99,"Mobile Phones,Dual SIM Phones"
"YOTAPHONE 2 (YD201) LTE, 32GB, Black ",http://www.expansys.com.sg/yotaphone-2-yd201-lte-32gb-black-with-free-bumper-case-273215/,979.00,http://i2.expansys.com/img/b/273215/yotaphone-2-yd201-lte-32gb-black.jpg,273215,SG$,2016-04-18 14:13:34,635.00,"Mobile Phones,SIM Free Phones,Android,KitKat 4.4"
Samsung Galaxy A7 (2016) Dual-SIM SM-A7100 ,http://www.expansys.com.sg/samsung-galaxy-a7-2016-dual-sim-sm-a7100-unlocked-lte-16gb-white-287361/,614.99,http://i1.expansys.com/img/b/287361/samsung-galaxy-a7-2016-dual-sim-sm-a7100.jpg,287361,SG$,2016-04-18 14:13:39,524.99,"Mobile Phones,Dual SIM Phones"
Samsung Galaxy A9 (2016) Dual-SIM SM-A9000 ,http://www.expansys.com.sg/samsung-galaxy-a9-2016-dual-sim-sm-a9000-unlocked-32gb-gold-287756/,739.99,http://i2.expansys.com/img/b/287756/samsung-galaxy-a9-2016-dual-sim-sm-a9000.jpg,287756,SG$,2016-04-18 14:13:43,674.99,Phablets
